action_name,action_value,app_type,event_id,map_keys
action,102,likee,104008,"bigo_id,profile_uid,create_time"
action,165,likee,104008,"reddot_status,is_protect_disp,follow_uid,channel,account_setting_source,languageshow,fail_reason,_linkd_,source"
action,181,likee,104008,"sign_type,_linkd_"
action,2,likee,104008,"msgid,reddot_status,is_protect_disp,follow_uid,channel,account_setting_source,languageshow,fail_reason,_linkd_,source"
action,36,likee,104008,"follow_uid,channel,languageshow,fail_reason,_linkd_"
action,70,likee,104008,"follow_uid,source"
action,15,likee,104012,"qsu_popup_src,login_test,with_username,language,flashcall_fail,fail_reason,is_login_info,login_src_fromlist,get_pin_count,page_status,languagetype,user_message_collect,login_src,position_id,safety_verify_from,is_time_out,post_id,is_call_log,login_group,active_time,uid,media,call_state,source,call_log_number,is_end_call,login_pattern,phone_result,have_quick_register,email_fail_reason,safety_to_page,camera,_linkd_,required_pincode_type,diamond_time,3rd_party_auth_error,diamond_is,login_result,areacountrycode,whatsapp_switch,qsu_click_src,sms_check_time,login_page_mode,login_uitype,is_cloud,click_source,have_age,currentcountrycode,flashcall_prefix,is_sim_number_equal_call,code_verification_src,login_type,is_uid_save,wa_login_fail,code_page_time,duration,is_sim,is_psw_hit,cookie_nums,mobile_num,gps,phone_login_from,is_cloud_login,verification_method,regadolescentconfig,is_success,sms,send_loginlbs_src,msgid,secret_login_fail,phone_register_from,method_page_source,code_time,login_page_pattern,sms_send,verify_page_source,birthday_change,code_result,is_listen"
action,179,likee,104012,"whatsapp_switch,login_test,login_page_mode,click_source,is_login_info,login_src_fromlist,code_verification_src,wa_login_fail,login_type,is_uid_save,code_page_time,login_src,cookie_nums,is_sim,mobile_num,post_id,is_call_log,login_group,active_time,is_cloud_login,uid,verification_method,source,send_loginlbs_src,login_pattern,method_page_source,phone_result,have_quick_register,login_page_pattern,sms_send,_linkd_,diamond_time,diamond_is,login_result"
action,284,likee,104012,"post_id,login_test,login_page_mode,login_group,active_time,is_cloud_login,uid,is_login_info,source,have_age,login_src_fromlist,login_type,send_loginlbs_src,login_pattern,have_quick_register,login_page_pattern,sms_send,verify_page_source,login_src,diamond_time,cookie_nums,diamond_is,login_result"
action,32,likee,104012,"qsu_popup_src,likeapp,login_test,language,is_login_info,page_status,languagetype,login_src,position_id,safety_verify_from,post_id,login_group,active_time,uid,net,media,from_page,source,lang,event_id,from,phone_result,have_quick_register,country,safety_to_page,camera,_linkd_,3rd_party_auth_error,diamond_time,diamond_is,login_result,areacountrycode,locale,qsu_click_src,sms_check_time,login_uitype,trending_type,is_cloud,click_source,uid_vistor,currentcountrycode,code_verification_src,login_type,is_uid_save,deviceversion,imsi,deviceos,uid_reg,mobile_num,gps,phone_login_from,is_cloud_login,verification_method,regadolescentconfig,sms,method_page_source,send_loginlbs_src,secret_login_fail,networktype,code_time,sms_send,birthday_change,code_result,downlink,currenturl"
