event_id,definition_count,action_name_count
102003,866,1
104012,368,1
102028,266,1
105001,265,1
103006,249,1
105002,238,1
103052,174,1
102837,172,1
104008,156,1
102025,85,1
102018,84,1
105012,80,1
104016,71,1
102006,64,1
102044,58,1
105020,54,1
112001,52,1
115005,52,1
102047,49,1
105022,49,1
